DetailURL,Space,Name,Penname,Genre,ImageURL,WebURL,GenreFreeFormat
https:/techbookfest.org/event/tbf04/circle/15420007,く18,エモCG（エモシージー）,sho7noka (しょーなのか),ソフトウェア全般,https://lh3.googleusercontent.com/Bbwgsx5HC5HFTjAE8B5OJ6cVkQ4m_S6rbSdK9Qgskwrdvw_oTcAKwG6W64bF4OpFap21MCEmWYJtOHH_5D4Y,,ARやVR、Vtuber など、3Dに対する需要は高まっています。  その流れに乗って3Dを始めてみた初心者の方にとって、 覚える単語の量や高価なサブスクリプションアプリ、プロプライエタリなファイルフォーマットなど、越えるべきハードルが多くて大変です。  Macと無料で使えるXcodeがあれば作ることができます。 オープンソースの Pixar USD と 3Dのサポートに積極的なMacを使って3Dプログラミングするためのノウハウを、技術書展4に書き下ろしました。  Pixar USD および関連する Swift フレームワークについて書かれた本は世界初です。
https:/techbookfest.org/event/tbf04/circle/18430008,く19,コンテンツマーケティング協会（コンテンツマーケティングキョウカイ）,雨月,ハードウェア全般,https://lh3.googleusercontent.com/v81DQ_hKoYz7ekkGsckjfg8QJKF2OdJV2ucUZO3EQaiGDNZ6YTz-__naqdaVCpiGQ-OkZ6SBWk5e9pDioz8,https://twitter.com/udk91,ジャンル：VRおよびマーケティング。頒布予定「VR/ARは美少女AIとともに」「このVRがすごい！」「これからのコンテンツ業界の話をしよう」「Re：ゼロから始めるコンテンツマーケティング」
https:/techbookfest.org/event/tbf04/circle/14680001,く20,バッペルッポやさん（バッペルッポヤサン）,てんちょー,ソフトウェア全般,https://lh3.googleusercontent.com/VWDg0xC0Ghyvccv2DDI1klPrPRc7qW_BjVg4r5xD0D0ajWjWNEGzujjbg1L9GS9r987USKya_nHSAeiJ5-A,https://twitter.com/shop_0761,UnrealEngine4
https:/techbookfest.org/event/tbf04/circle/21050012,く21,Parasuicide（パラスーサイド）,たっきー,ソフトウェア全般,https://lh3.googleusercontent.com/s0qHdjFdh-QDNf5oN_nnVZ1DHfae--HfFNZtTEd4hc4mtSwNHx7LNtkXKv4Baoj8gQljIVeuVCgcdJn5Juc,https://obel.hatenablog.jp/,1. 「幻想水滸伝」に関する OSS の紹介本 2. Twitter でツイートを収集する方法を解説した本 3. ゲームのサポートツールについて（ペーパー予定）（「かんたん後払い」「pixiv PAY」対応）
https:/techbookfest.org/event/tbf04/circle/18470001,く22,チームムロスタ（チームムロスタ）,@RyotaMurohoshi,ソフトウェア全般,https://lh3.googleusercontent.com/94ANK9QsbS9WwbGoEibKasqYmW1TENybrrIF5hvkvAvWrMdzNTQqpC5KysUzfJyzr50Pw1vmQtDfN6DBenM,,ゲーム開発・Unity・Tilemap
https:/techbookfest.org/event/tbf04/circle/12870004,く23,BAKUNETSU VICTORY（バクネツ ビクトリー）,ふぃなっぷ,ソフトウェア全般,https://lh3.googleusercontent.com/zdINCk3CzzvY_gKh9Q17nJEqsxEm28cmPe7mEMkpBumGDbTCGaghbLWQ1_0Ca_v4coQ0lm8Rsq0bBBeVkFSi,https://finap.sakura.ne.jp/,『魅せるゲームグラフィックスを作るためには？』そのコツをまとめたゲームグラフィックス本と、UE4のUnreal C++本の2冊が新刊です。　お品書きはこちら：https://twitter.com/finap_moe/status/987342515995987968
https:/techbookfest.org/event/tbf04/circle/11680007,く24,Owl Works（アウルワークス）,owl works,ソフトウェア全般,https://lh3.googleusercontent.com/WxtQbzlNeBBFvtur59ZlYozmG7cPAPzYq2Lu8jqGdkveJWBEFFNgYA__AeRMcEubTgQLiV8ttTVn3LiUp4Wg,http://owl-works.org/,Webゲームを作ろう！(Rails/ActionCable)、M:tGとプログラミングの話
https:/techbookfest.org/event/tbf04/circle/15430002,く25,FullPowerSideAttack.com（フルパワーサイドアタックドットコム）,なんも,ソフトウェア全般,https://lh3.googleusercontent.com/FZMNGTsjzEPLR7SSoiaNJvD2yFeyRH5sBAzz8uVMY3_UT1IJQoe4CV2R8gxBPxW2EbP6pU4759Jjoxf706R5,http://FullPowerSideAttack.com,自作ゲームをマイクロソフトのID@Xboxプログラムを利用してXbox One向けにリリースしたときのノウハウをまとめた本を頒布予定です。もとになっているゲームのWindows版も頒布する予定です。またゲームの説明のためにNintendo Switchの試遊台を設置することを検討しています。
https:/techbookfest.org/event/tbf04/circle/18280005,く26,MZ工房（エムゼットコウボウ）,みず,ソフトウェア全般,https://lh3.googleusercontent.com/8IUG3CdD8J2BQWyV39VzoL0t593NPhDvcdg0n2i2KioaEw35FUK3YwEpaiSL5P_IRDk3aiinTt1rkWzfpdme,https://sites.google.com/view/mzfactory,触ってみたいけどそもそもググり方がわからない人向けの本です。Unityを使ったゲームの初歩の初歩の本、Googleホームの本
https:/techbookfest.org/event/tbf04/circle/13820003,く27,Indie Visual Lab（インディービジュアルラボ）,Indie Visual Lab,ソフトウェア全般,https://lh3.googleusercontent.com/U-5J4Mlwof5sOmHA2qG5Maigc8ata6Eq7ui7bXECkI-Zi3iVgmJGh13VCRw-xCwO2JKORu55hYv3DoJm40ZR1g,https://indievisuallab.github.io/,"Unityによるグラフィックスプログラミングテクニック, GPU, Shader"
https:/techbookfest.org/event/tbf04/circle/15430004,く28,染井吉野ゲームズ（ソメイヨシノゲームズ）,土屋つかさ,ソフトウェア全般,https://lh3.googleusercontent.com/lERYUxvEqltjmWTAxMK8g0Rj94AaFzfwPvDsM-dVM-_f3zX5DGuWaWGI8D4ZIaAcLPlr9VV4fz0RHn_xW64p,http://d.hatena.ne.jp/t_tutiya/,Unityのシェーダープログラミングについての解説書
https:/techbookfest.org/event/tbf04/circle/14720002,く29,LOCAL学生部（ローカルガクセイブ）,LOCAL Students,ソフトウェア全般,https://lh3.googleusercontent.com/W-D--IDUjrwlVd7c3lpPw0uuVItCsrsYvzNjB_xXEXwVaVr_QE51SkrEXPif1fuculur7TzG2bSDGh8cVi7X,,北海道で活躍するLOCAL学生部員がそれぞれの得意分野を記事にしたオムニバス形式の同人誌です。電子工作などの低レイヤな記事からLaTeXのような高レイヤな記事まで楽しめます！
