Penname,Genre,DetailURL,Space,ImageURL,WebURL,GenreFreeFormat,Name
雨月,ハードウェア全般,https:/techbookfest.org/event/tbf05/circle/29530001,い17,https://lh3.googleusercontent.com/v81DQ_hKoYz7ekkGsckjfg8QJKF2OdJV2ucUZO3EQaiGDNZ6YTz-__naqdaVCpiGQ-OkZ6SBWk5e9pDioz8,https://twitter.com/udk91,VR/AR,コンテンツマーケティング協会（コンテンツマーケティングキョウカイ）
yoichineji,ハードウェア全般,https:/techbookfest.org/event/tbf05/circle/31350003,い18,https://lh3.googleusercontent.com/oidbgqfXY2HhJSGMdeNzTgP5r9yaFSur4jBSYYucUZFFa0iI-EVeaGz2Hdl_phx7DJBVNmSl608GZLGezUg1MQ,,Microsoft hololens を漫画で買わせる本,4i（ヨンアイ）
Yoruno,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/29520005,い19,https://lh3.googleusercontent.com/K4gyEsGdtlBuDvI40wTGXSODImkx5Qsh-faE6KBiXaxnth0zEhOXV3zrhtWKLFc24CQnFx71Q7JjngXt5gnH,,インフラに関連するツール・用語等をイラストと会話を交えて初心者向けにわかりやすく解説する本,ALiCE DRiVE（アリスドライブ）
len,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/35090004,い20,https://lh3.googleusercontent.com/xl81fg35LhR3Man-eQJq-DqkOZrIa2yg_shGZamBTsprdLvko4h1lTTymS7YBaZRMQJ3xpf9uY0TCe093HwO,,Ruby on Rails の開発に関する本,Tech翠屋（テックミドリヤ）
Kishima,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/45120001,い21,https://lh3.googleusercontent.com/BIsU2nz_huSbUTl_mEhMziApTFtY9rn3BE5-LMvNN4-ASElts1X6Q5dXUa0fcNqMti5irJsQNcQUFxrGvn49,https://silentworlds.info/my-books/,mruby/cというmrubyのRiteVMよりも省メモリ実装VMの中身の解説＆mruby/cを更に改造してESP32などよりもさらにリソースの少ないArduinoやArduino互換のボードで動かす方法をまとめます,Kishima Craft Works（キシマクラフトワークス）
kinoppyd,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30330002,い22,https://lh3.googleusercontent.com/fPh6g9DPgAYimmp053K9JhTyEPfQnt91T8atmuC1v5l-kUXHDzmsVFNgfdn0B8y01uvPT9BzmihE6F2FqHY,http://tolarian-academy.net,Ruby,トレイリア学園（トレイリアガクエン）
YassLab 株式会社,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/33180004,い23,https://lh3.googleusercontent.com/GFmGN6mO9O23CMdPkHP69soYWZ4BrbliZ1scG88rz73AveyZ9fd4NQiEYARyHcVzn04krNMVXNBK4MQxDXU,https://yasslab.jp/ja,Ruby/Rails業界で著名なRails チュートリアルおよびRailsガイドの電子書籍/解説動画 (最新版) を頒布したいと考えています。,YassLab 出版部（ヤスラボカブシュッパンブ）
satomicchy,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/41180002,い24,https://lh3.googleusercontent.com/ZosErmLW8yqeFCKj7RRxZxw_IDCABOVqzVSoB3sDRfJr8ZxnzfAHs_UjQ8tU7QK1gQul4-OhQ3dxTBrKR97g,,RubyとRuby on Railsの入門書,satomicchy'sほん屋（サトミッチーズホンヤ）
kusano_k,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/28720006,い25,https://lh3.googleusercontent.com/-v07TusMG_6ATohPrmW1qARguUIVf79MkXFhSzDpgaqihwEzliQOz1tUPE5-Ev9HjEDQ8TizSlJZytIOHBM,http://sanya.sweetduet.info/monatxscript/,暗号通貨Bitcoinの内部で使用されているスクリプト言語についての本を頒布します。スクリプト言語の詳細な仕様や、スクリプト言語による典型的なプログラムの解説します。また、実際のブロックチェーンにおける使用法を解析した結果も掲載します。前回の技術書典で頒布した暗号形式ZIPの本も再販します。,superflip（スーパーフリップ）
hilotter,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/51270008,い26,/assets/images/dummy_cut.png,,ethOSを使って自宅で暗号通貨マイニング運用をやってみた体験記です,チーム匠（チームタクミ）
takpy,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/27550001,い27,/assets/images/dummy_cut.png,,"golang, Blockchain, Ethereum",🐕.go（ドッグドットゴー）
Keymakers,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/29540001,い28,/assets/images/dummy_cut.png,https://medium.com/@NeoKeymakersJP,blockchain,NEO KeymakersJapan（ネオキーメーカーズジャパン）
ワタナベピー,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/33130001,い29,https://lh3.googleusercontent.com/MIaxU6jbrdGctx7NAEXU8Xpuwzz6k4AlvYyGI-GniEOjUPtXOQst1HuSmw-d7pyrdaHg4Nj5EBjmZ0i0BP--,これから用意します。,logics mathematics,watanabe_ph（ワタナベピー）
出水洸太郎,その他,https:/techbookfest.org/event/tbf05/circle/26850009,い30,https://lh3.googleusercontent.com/RZvHHTUvKyHlb20xzBGx7iWl4jeJdsle8QtLHNUABk28b5RhPofl3CXF7oIOtGyWonZPUNW1S7bXBEJEudrc,http://nijiken.sakura.ne.jp/,数学の本になると思います,GarbageCollection（ガベージコレクション）
エウレ・テクノロギア,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/24980001,う01,https://lh3.googleusercontent.com/igfLteyLQi38IoExHOBHVsY0kIMo1T9f2EOnWDlukwsOcQy_r1MvpJ2_YxnCfvmQNfObTVKhaGCiiNwJOD9G,,"Android,Golang,Clojure,チーム開発など",エウレ・テクノロギア（エウレテクノロギア）
せとあず♂,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/24740001,う02,https://lh3.googleusercontent.com/FBpvEiA5Q5DCVhzJdSZDBRjIf-K7ca2IThhok0FI0O6BJj9i1SfX1uwyECk3Bw4wyeP3bWT6Vh_watTeXSHHOA,http://pub.fieldnotes.jp/,「Packer+ServerspecではじめるインフラCI」なんちゃってインフラエンジニアがインフラ自動化に取り組んだ過程をまとめました。「Mackerelではじめるお手軽Webサービス監視」現場指向のMackerel解説書が大幅ボリューム増で商業化！,ふぃーるどのーつ（フィールドノーツ）
seya,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/53060002,う03,/assets/images/dummy_cut.png,,Web系 GraphQLについて書こうと思っています。また、おそらくKotlinについても相方が書きます。,チーム肩神（チームカタシン）
改善屋tech,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/28720009,う04,https://lh3.googleusercontent.com/HmY8-5PdZGs4yIGSgyZ9t3QvlilwAbTTekzTTNfsTf2sIZuOg2x_evOkkW1qA9EW_kE3HLvUfrlSEY9hp_Y,https://twitter.com/kaizenya__tech,Backends for Frontendを用いてのマイクロ〜サービスの構築方法など。フロントもバックエンドもTypeScriptで書くパッケージ構成やGraphQLなど。PythonやNodeJSなどを使い、フルスタックフレームを用いないでのWebAPI周りの開発など。,改善屋tech（カイゼンヤテック）
bird_tummy,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30270001,う05,https://lh3.googleusercontent.com/kPC0MtncdwOswTeoQGynECNkGVjbKY7IA9Tiqn5fcNJ-Xi1lfKYykxnrBAiT2yva0VwyGf1wwZNEvhZs9NdjwQ,,"GraphQL を使ったクライアントサイドの実装について幅広く解説します！Android, iOS, Nuxt.js が対象です。",たみーくる（タミークル）
たけうちさんは縮退しました🌀,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/28700002,う06,https://lh3.googleusercontent.com/4EFZQcj996LxuMU3q_forhOSGhEWmF0mQipLK3GcufD3vzcz7xOUO1ssrGNjpHkgIcK6EDK9BxuWeurKf2uf,https://starfragments.one/techbookfest5/,"社内システムをPrisma, Apollo, Vue.js, TypeScriptで作ってみた話についてまとめる予定です。",ほしのかけら（ホシノカケラ）
汐瀬なぎ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/24920001,う07,https://lh3.googleusercontent.com/qGjb_qZewG0rrrq5UIT6V1aKwZuwz0GWfYOEUEMw1UMeYznjrePaEqiUwZcfqy33rqtKZRY5UEReNsc_I0nAQQ,https://twitter.com/polyxx/,GatsbyJSによるReact、GraphQLを用いた静的Webサイト構築の解説本,Monochrome（モノクローム）
さむ/zushi,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/47150001,う08,https://lh3.googleusercontent.com/Gb0Hl1f_ihopCgdP8_FH27-eECPYLcIL6TTS1rcMvwix-GNCjRPMvXhnYjzjU78DsypSDINh0eUFZShdXMA,,Ionicでのスマホアプリの作り方や、DjangoでのWebサイトの作り方に関する同人誌を頒布しようと思っています。,黒塗りのビール（クロヌリノビール）
大岡 由佳,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/27720001,う09,https://lh3.googleusercontent.com/CqJbDbiaZIZEWqBhKQ59u4EIgEGXYyHJYmwYoUyTL__vwwx_hu1oy7dBjT7_KcJkpG2ZoJyICoJAmKH_if23,https://twitter.com/oukayuka,現場の知見を盛り込んだReact入門書。TypeScript完全対応。対話形式で今どきのフロントエンド開発をわかりやすく解説します。,Nutcracker（ナットクラッカー）
サティファク!,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/51110002,う10,/assets/images/dummy_cut.png,,iOSでさわって学ぶLeanXP、さわって学ぶHTTP/2,サティファク!（サティファク）
GCF メンバー,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/26840001,う11,/assets/images/dummy_cut.png,https://goodcodingfriends.github.io/techfest/,Go (golang/go) の仕様など、Go 自体に関するいくつかの実装の詳細を扱った本および Kotlin に関する本を描きます,GCF（ジーシーエフ）
mikesorae,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/25700002,う12,https://lh3.googleusercontent.com/71sdjunxH-Q3K6q_0ZwoXDFiCS5JAmn5Uk77uOjzKgy1WzxNPjE9OuQwHbl_y9wGRxxVWpE_iddzKQ6qbPUs,,いろいろ詰め合わせ合同誌と、Spring Boot+KotlinでのDDDのチュートリアル本を書きます。合同誌の内容はWebアプリのセキュリティ、KotlinとScalaの比較、Elm入門についてです。,Stray Calico（ストレイキャリコ）
電子情報編集部,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30210002,う13,https://lh3.googleusercontent.com/qs4eYiq0XgDpiBuimpRVJfVjktVE7WkVizeIO9S9bUOYtTBa7wONFEy2Fh8vD6BnIwS9k2CvrZ9WNOP6gffgTA,https://editorial-dept.github.io/,"Android, ケモインフォマティクス, 計算化学に携わるメンバーで送るよくわからない合同誌です",電子情報編集部（デンシジョウホウヘンシュウブ）
sakebook,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/24870001,う14,/assets/images/dummy_cut.png,,Fitbit OSでWatch Faceを作って公開するまで,sakebook（サケブック）
たかの あきこ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/49260003,う15,https://lh3.googleusercontent.com/FOOdBQlxltKVIpCCTMrbYNlTEYpZWKtKwV_xieBkEk0IwP0ROYsEhkhTckBJgevs-8dXYvLOcH6blwPzuDCt,https://twitter.com/akiko_pusu,IT業界でしぶとく生き抜く母の日常、およびRedmineプラグインについての悲喜こもごも。,うさぎまんじゅう（ウサギマンジュウ）
